Candidate,Candidate_ID,Before_Debate_Morning_Consult_Poll,Change_in_Morning_Consult_Poll,Change_in_Twitter_Sentiment,Change_in_Probabilities_by_Oddschecker,Change_in_Scaled_Google_Searches
Joe Biden,1,0.32,-0.02,-0.012023074,-0.007297057,-0.080255957
Cory Booker,2,0.02,0.01,-0.022285727,0.000812494,0.012562095
Pete Buttigieg,3,0.05,0.01,-0.018460846,0.013939738,0.026319778
Julian Castro,4,0.01,0,-0.001744695,-0.001088579,-0.004933906
Tulsi Gabbard,5,0.01,0,0.006549701,-0.000667177,0.087816789
Kamala Harris,6,0.06,0,-0.003580305,-0.007409781,0.003889871
Amy Klobuchar,7,0.01,0.01,0.023888191,0.000571257,0.034318431
Beto ORourke,8,0.03,-0.01,0.015829817,-0.00234121,0.000673571
Bernie Sanders,9,0.19,-0.01,-0.002566551,0.014046583,-0.057489265
Tom Steyer,10,0.01,0,0.002155546,0.00048841,0.034469984
Elizabeth Warren,11,0.21,0,-0.017408044,-0.008272356,-0.077561674
Andrew Yang,12,0.03,0,-0.018344713,-0.002782323,0.020190284
